id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-09-27 07:28:40,"{""short_code"":""2bqEcb"",""original_url"":""https://acme.dev/tidy/canyon/1""}"
2,2,52,created,2025-06-23 22:52:28,"{""short_code"":""5OG7FC"",""original_url"":""https://hackstack.io/dawn/delta/2""}"
3,3,97,created,2025-03-28 13:24:02,"{""short_code"":""fzSKmH"",""original_url"":""https://hackstack.io/ember/kernel/3""}"
4,4,78,created,2025-06-27 01:54:01,"{""short_code"":""4Exc3O"",""original_url"":""https://example.com/quiet/trail/4""}"
5,5,49,created,2025-01-24 08:57:35,"{""short_code"":""JCsXM5"",""original_url"":""https://opswise.net/warm/delta/5""}"
6,6,194,created,2025-05-17 08:38:58,"{""short_code"":""r4jFyD"",""original_url"":""https://opswise.net/young/beacon/6""}"
7,7,354,created,2025-07-17 19:22:17,"{""short_code"":""2i6O78"",""original_url"":""https://relay.cloud/calm/trail/7""}"
8,8,339,created,2025-08-03 17:11:35,"{""short_code"":""DdTYx3"",""original_url"":""https://hackstack.io/lively/yard/8""}"
9,9,312,created,2025-12-30 13:38:32,"{""short_code"":""98H4ti"",""original_url"":""https://relay.cloud/ivory/garden/9""}"
10,10,179,created,2025-06-27 22:52:07,"{""short_code"":""kbNwyd"",""original_url"":""https://seeded.app/ivory/field/10""}"
11,11,243,created,2025-10-18 06:12:29,"{""short_code"":""VNBfVo"",""original_url"":""https://example.com/harbor/trail/11""}"
12,12,325,created,2026-01-25 14:24:07,"{""short_code"":""x3QFGW"",""original_url"":""https://acme.dev/mellow/pioneer/12""}"
13,13,165,created,2025-11-17 19:15:54,"{""short_code"":""OStcxd"",""original_url"":""https://opswise.net/young/journey/13""}"
14,14,318,created,2025-12-21 09:28:25,"{""short_code"":""v7zUDw"",""original_url"":""https://hackstack.io/ember/valley/14""}"
15,15,60,created,2026-02-19 18:21:46,"{""short_code"":""wTYAun"",""original_url"":""https://hackstack.io/young/canyon/15""}"
16,16,12,created,2025-08-18 02:12:00,"{""short_code"":""xho5an"",""original_url"":""https://opswise.net/lively/anchor/16""}"
17,17,186,created,2025-02-28 20:49:12,"{""short_code"":""Ouh358"",""original_url"":""https://opswise.net/young/anchor/17""}"
18,18,65,created,2025-02-18 22:20:30,"{""short_code"":""4riRYQ"",""original_url"":""https://seeded.app/brisk/orbit/18""}"
19,19,14,created,2025-04-26 01:10:03,"{""short_code"":""82VzUv"",""original_url"":""https://seeded.app/navy/trail/19""}"
20,20,163,created,2025-03-31 02:59:12,"{""short_code"":""FGniYp"",""original_url"":""https://relay.cloud/brisk/meadow/20""}"
21,21,314,created,2025-01-06 14:31:16,"{""short_code"":""LI4OjY"",""original_url"":""https://example.com/young/quartz/21""}"
22,22,77,created,2025-01-23 14:44:41,"{""short_code"":""GSmNJl"",""original_url"":""https://relay.cloud/opal/uplink/22""}"
23,23,229,created,2025-05-27 18:48:58,"{""short_code"":""ssAY39"",""original_url"":""https://seeded.app/mellow/canyon/23""}"
24,24,74,created,2025-03-03 23:29:23,"{""short_code"":""sBgYcE"",""original_url"":""https://relay.cloud/harbor/window/24""}"
25,25,332,created,2025-05-22 05:24:39,"{""short_code"":""nMcSnB"",""original_url"":""https://opswise.net/urban/river/25""}"
26,26,129,created,2025-06-11 12:07:12,"{""short_code"":""nu2x6I"",""original_url"":""https://acme.dev/amber/valley/26""}"
27,27,241,created,2026-02-07 04:03:59,"{""short_code"":""lqBDBA"",""original_url"":""https://seeded.app/tidy/pioneer/27""}"
28,28,359,created,2025-11-04 09:56:09,"{""short_code"":""WgpK8c"",""original_url"":""https://relay.cloud/jade/beacon/28""}"
29,29,51,created,2025-06-18 14:33:07,"{""short_code"":""LXHJan"",""original_url"":""https://hackstack.io/rapid/kernel/29""}"
30,30,369,created,2025-01-17 04:34:53,"{""short_code"":""zZqRJd"",""original_url"":""https://relay.cloud/gold/kernel/30""}"
31,31,93,created,2025-01-16 04:06:36,"{""short_code"":""oqLzm3"",""original_url"":""https://opswise.net/silver/kernel/31""}"
32,32,26,created,2025-09-19 18:59:02,"{""short_code"":""Yy697I"",""original_url"":""https://hackstack.io/young/journey/32""}"
33,33,96,created,2025-01-28 02:05:16,"{""short_code"":""0S1DRA"",""original_url"":""https://opswise.net/forest/field/33""}"
34,34,340,created,2025-04-02 10:51:54,"{""short_code"":""1mdglU"",""original_url"":""https://example.com/tidy/journey/34""}"
35,35,350,created,2025-02-03 11:53:12,"{""short_code"":""jyTr7v"",""original_url"":""https://opswise.net/warm/network/35""}"
36,36,62,created,2025-05-04 06:43:45,"{""short_code"":""ipC3Ak"",""original_url"":""https://hackstack.io/forest/river/36""}"
37,37,322,created,2026-01-11 21:00:35,"{""short_code"":""3ueR1D"",""original_url"":""https://example.com/brisk/window/37""}"
38,38,40,created,2026-01-12 16:53:35,"{""short_code"":""PPXO8W"",""original_url"":""https://acme.dev/harbor/garden/38""}"
39,39,327,created,2025-10-18 07:51:34,"{""short_code"":""i9Uvlg"",""original_url"":""https://relay.cloud/warm/uplink/39""}"
40,40,298,created,2025-06-05 07:46:31,"{""short_code"":""Um7JjP"",""original_url"":""https://relay.cloud/rapid/island/40""}"
41,41,370,created,2025-07-28 04:51:16,"{""short_code"":""cgVEs9"",""original_url"":""https://hackstack.io/cobalt/journey/41""}"
42,42,372,created,2025-10-14 11:52:30,"{""short_code"":""7Lcyjx"",""original_url"":""https://hackstack.io/jade/signal/42""}"
43,43,362,created,2025-09-04 12:54:31,"{""short_code"":""nc5gXD"",""original_url"":""https://hackstack.io/jade/signal/43""}"
44,44,284,created,2025-08-25 11:31:17,"{""short_code"":""D9gbUJ"",""original_url"":""https://hackstack.io/tidy/river/44""}"
45,45,158,created,2025-10-18 20:07:50,"{""short_code"":""2hBHxO"",""original_url"":""https://hackstack.io/jade/journey/45""}"
46,46,271,created,2025-08-16 05:13:24,"{""short_code"":""BX5nKz"",""original_url"":""https://hackstack.io/jade/zenith/46""}"
47,47,286,created,2026-01-03 13:31:21,"{""short_code"":""TLjKQE"",""original_url"":""https://acme.dev/urban/quartz/47""}"
48,48,245,created,2025-06-22 04:48:17,"{""short_code"":""vRRvZ6"",""original_url"":""https://example.com/navy/uplink/48""}"
